id,date,f1,f2,f3,f4,f5,b1,b2
25147,2025-12-24,6,16,21,25,33,7,8
25146,2025-12-22,6,11,13,16,22,2,3
25145,2025-12-20,5,7,20,22,25,4,5
25144,2025-12-17,2,5,13,15,28,5,8
25143,2025-12-15,3,4,18,24,29,7,12
25142,2025-12-13,9,10,14,27,29,2,9
25141,2025-12-10,4,9,24,28,29,2,10
25140,2025-12-08,4,5,13,18,34,2,8
25139,2025-12-06,8,18,22,30,35,1,4
25138,2025-12-03,1,3,19,21,23,7,11
25137,2025-12-01,7,8,9,11,22,5,11
25136,2025-11-29,7,11,15,16,23,9,11
25135,2025-11-26,2,10,16,28,32,1,7
25134,2025-11-24,7,12,18,27,33,9,10
25133,2025-11-22,4,11,23,27,35,7,11
25132,2025-11-19,1,9,10,12,19,6,7
25131,2025-11-17,3,8,25,29,32,9,12
25130,2025-11-15,1,13,16,27,29,2,11
25129,2025-11-12,3,9,14,28,35,2,4
25128,2025-11-10,3,6,26,30,33,11,12
25127,2025-11-08,4,5,19,28,29,5,8
25126,2025-11-05,1,8,18,27,30,6,7
25125,2025-11-03,10,11,13,19,35,4,11
25124,2025-11-01,6,9,14,26,27,8,9
25123,2025-10-29,8,13,24,25,31,4,10
25122,2025-10-27,2,3,6,16,17,4,5
25121,2025-10-25,2,3,8,13,21,7,12
25120,2025-10-22,11,13,22,26,35,2,8
25119,2025-10-20,8,15,27,29,31,1,7
25118,2025-10-18,2,8,9,12,21,4,5
25117,2025-10-15,5,10,18,21,29,5,7
25116,2025-10-13,2,6,16,22,29,8,12
25115,2025-10-11,3,12,14,21,35,1,5
25114,2025-10-08,3,8,9,12,16,1,5
25113,2025-10-06,1,14,18,28,35,2,3
25112,2025-09-29,3,4,21,23,24,9,12
25111,2025-09-27,2,9,14,21,26,2,12
25110,2025-09-24,1,15,22,30,31,2,8
25109,2025-09-22,4,8,10,13,26,9,10
25108,2025-09-20,14,18,21,24,29,3,6
25107,2025-09-17,5,7,8,15,33,6,10
25106,2025-09-15,5,6,11,26,29,5,10
25105,2025-09-13,15,16,25,28,34,10,12
25104,2025-09-10,2,6,9,22,34,2,8
25103,2025-09-08,5,8,19,32,34,4,5
25102,2025-09-06,9,10,13,26,28,2,4
25101,2025-09-03,5,7,19,26,32,8,9
25100,2025-09-01,26,28,32,34,35,2,7
25099,2025-08-30,6,12,20,26,31,2,4
25098,2025-08-27,1,7,9,10,23,10,12
25097,2025-08-25,5,24,25,32,34,1,9
25096,2025-08-23,2,11,17,22,24,7,9
25095,2025-08-20,7,13,14,19,27,6,10
25094,2025-08-18,4,9,17,30,33,5,9
25093,2025-08-16,1,7,9,16,30,2,5
25092,2025-08-13,4,10,17,25,32,5,7
25091,2025-08-11,1,19,22,25,27,3,10
25090,2025-08-09,6,14,19,22,27,1,4
25089,2025-08-06,2,11,12,32,34,3,10
25088,2025-08-04,8,9,10,11,35,5,11
25087,2025-08-02,5,13,14,16,20,3,8
25086,2025-07-30,2,6,23,24,33,1,10
25085,2025-07-28,2,5,9,14,33,4,9
25084,2025-07-26,9,11,13,18,29,4,11
25083,2025-07-23,12,17,18,20,34,2,5
25082,2025-07-21,2,3,4,12,26,1,8
25081,2025-07-19,1,4,6,15,18,2,3
25080,2025-07-16,9,10,18,22,24,3,12
25079,2025-07-14,2,14,32,34,35,5,11
25078,2025-07-12,7,10,15,21,24,5,6
25077,2025-07-09,12,14,16,19,28,1,4
25076,2025-07-07,11,18,22,25,29,4,12
25075,2025-07-05,8,12,16,19,35,6,9
25074,2025-07-02,2,11,15,18,21,5,10
25073,2025-06-30,1,4,17,33,34,3,9
25072,2025-06-28,4,7,15,24,29,1,4
25071,2025-06-25,1,8,25,31,33,5,11
25070,2025-06-23,8,9,15,20,22,4,12
25069,2025-06-21,4,6,7,33,34,9,10
25068,2025-06-18,1,4,17,20,22,4,10
25067,2025-06-16,6,10,12,21,22,1,6
25066,2025-06-14,15,18,27,28,34,3,6
